label,review
1,很快，好吃，味道足，量大
1,沒有送水沒有送水沒有送水
1,非常快，態度好。
1,方便，快捷，味道可口，快遞給力
1,菜味道很棒！送餐很及時！
1,今天師傅是不是手抖了，微辣格外辣！
1,"送餐快,態度也特別好,辛苦啦謝謝"
1,超級快就送到了，這麼冷的天氣騎士們辛苦了。謝謝你們。麻辣香鍋依然很好吃。
1,經過上次晚了2小時，這次超級快，20分鐘就送到了……
1,最後五分鐘訂的，賣家特別好接單了，謝謝。
1,量大，好吃，每次點的都夠吃兩次
1,挺辣的，吃著還可以吧
1,味道好，送餐快，分量足
1,量足，好吃，送餐也快
1,特別好吃，量特大，而且送餐特別快，特別特別棒
1,口感好的很，速度快！
1,相當好吃的香鍋，分量夠足，味道也沒的說。
1,好吃！速度！包裝也有品質，不出家門就能吃到餐廳的味道！
1,味道好極啦，送餐很快師傅辛苦啦
1,量大味道好，送餐師傅都很好
1,送餐師傅很好，味道好極啦
1,送貨速度很快，一直定這家，贊
1,很方便，很快就送到了。棒
1,好吃，總點，這麼多夠五個人吃。送的很快。
1,"很香很美味,下次還會光顧"
1,"送餐特別快,態度也好,辛苦啦"
1,服務很不錯，送到的很快，半小時不到就送來了
1,速度很快，大霧霾天外賣騎士態度都很好，贊贊贊！
1,味道正宗，量大內容多
1,"送餐非常快,態度特別好,謝謝"
1,又快又好，量足，經常吃
1,好大一盆點了7個小份量足
1,配送人員態度好，速度快！
1,"在這種天氣裡感謝送餐員的辛苦服務,謝謝啦"
1,"送餐特別快,態度好,非常感謝"
1,送的非常快，包裝好！謝謝師傅！
1,附近最好吃的麻辣香鍋，不開玩笑的
1,味道不錯，份量很足，建議都點小份。紅薯超好吃就是太爛了容易碎
1,還不錯，就是稍微鹹了點
1,這麼晚辛苦外賣小哥了
1,超級快就送到了，謝謝騎士很快，感謝騎士這種天氣還在工作！
1,非常好吃，味道也很香，推薦！
1,"很好吃,速遞快,下次繼續選擇"
1,很快，特別好
1,太麻了，青筍有點小，米飯給的也不多，土豆片都碎了，找不到了
1,點了太多次了，味道很香
